experiment,ppid,session_num,trial_num,block_num,trial_num_in_block,start_time,end_time,vmr_angle,needletip_movement_location_0
reaching,scan-4398c530-393e-4cdf-ba7c-bf27005f3227,1,1,1,1,7.714991,8.72,0,reaching/scan-4398c530-393e-4cdf-ba7c-bf27005f3227/S001/trackers/needletip_movement_T001.csv
reaching,scan-4398c530-393e-4cdf-ba7c-bf27005f3227,1,2,1,2,11.61288,12.26,0,reaching/scan-4398c530-393e-4cdf-ba7c-bf27005f3227/S001/trackers/needletip_movement_T002.csv
