experiment,ppid,session_num,trial_num,block_num,trial_num_in_block,start_time,end_time,hiddencursor_movement_location_0,needletip_movement_location_0
reaching,cheek-8f21f231-0fa6-4889-989a-30cf4074683e,1,1,1,1,17.26893,19.7,reaching/cheek-8f21f231-0fa6-4889-989a-30cf4074683e/S001/trackers/hiddencursor_movement_T001.csv,reaching/cheek-8f21f231-0fa6-4889-989a-30cf4074683e/S001/trackers/needletip_movement_T001.csv
reaching,cheek-8f21f231-0fa6-4889-989a-30cf4074683e,1,2,1,2,21.8675,28.7389,reaching/cheek-8f21f231-0fa6-4889-989a-30cf4074683e/S001/trackers/hiddencursor_movement_T002.csv,reaching/cheek-8f21f231-0fa6-4889-989a-30cf4074683e/S001/trackers/needletip_movement_T002.csv
