experiment,ppid,session_num,trial_num,block_num,trial_num_in_block,start_time,end_time,hiddencursor_movement_location_0,needletip_movement_location_0
reaching,strut-53075df9-9e54-4604-b872-7db6816ce03f,1,1,1,1,15.95097,16.8,reaching/strut-53075df9-9e54-4604-b872-7db6816ce03f/S001/trackers/hiddencursor_movement_T001.csv,reaching/strut-53075df9-9e54-4604-b872-7db6816ce03f/S001/trackers/needletip_movement_T001.csv
reaching,strut-53075df9-9e54-4604-b872-7db6816ce03f,1,2,1,2,18.47149,19.3,reaching/strut-53075df9-9e54-4604-b872-7db6816ce03f/S001/trackers/hiddencursor_movement_T002.csv,reaching/strut-53075df9-9e54-4604-b872-7db6816ce03f/S001/trackers/needletip_movement_T002.csv
