experiment,ppid,session_num,trial_num,block_num,trial_num_in_block,start_time,end_time,vmr_angle,trainee_right_stylus_movement_location_0,mentor_left_stylus_movement_location_0
reaching,trout-cde682c8-3181-45ba-a7bd-97829cf362bb,1,1,1,1,10.70158,13.26,0,reaching/trout-cde682c8-3181-45ba-a7bd-97829cf362bb/S001/trackers/trainee_right_stylus_movement_T001.csv,reaching/trout-cde682c8-3181-45ba-a7bd-97829cf362bb/S001/trackers/mentor_left_stylus_movement_T001.csv
reaching,trout-cde682c8-3181-45ba-a7bd-97829cf362bb,1,2,1,2,16.78712,18.28,0,reaching/trout-cde682c8-3181-45ba-a7bd-97829cf362bb/S001/trackers/trainee_right_stylus_movement_T002.csv,reaching/trout-cde682c8-3181-45ba-a7bd-97829cf362bb/S001/trackers/mentor_left_stylus_movement_T002.csv
reaching,trout-cde682c8-3181-45ba-a7bd-97829cf362bb,1,3,1,3,19.62372,20.5,0,reaching/trout-cde682c8-3181-45ba-a7bd-97829cf362bb/S001/trackers/trainee_right_stylus_movement_T003.csv,reaching/trout-cde682c8-3181-45ba-a7bd-97829cf362bb/S001/trackers/mentor_left_stylus_movement_T003.csv
reaching,trout-cde682c8-3181-45ba-a7bd-97829cf362bb,1,4,1,4,21.88068,23.14,0,reaching/trout-cde682c8-3181-45ba-a7bd-97829cf362bb/S001/trackers/trainee_right_stylus_movement_T004.csv,reaching/trout-cde682c8-3181-45ba-a7bd-97829cf362bb/S001/trackers/mentor_left_stylus_movement_T004.csv
