experiment,ppid,session_num,trial_num,block_num,trial_num_in_block,start_time,end_time,vmr_angle,right_stylus_movement_location_0,left_stylus_movement_location_0
reaching,wick-7f8745df-f772-4451-b0e8-8057348fbd48,1,1,1,1,21.16742,21.92,0,reaching/wick-7f8745df-f772-4451-b0e8-8057348fbd48/S001/trackers/right_stylus_movement_T001.csv,reaching/wick-7f8745df-f772-4451-b0e8-8057348fbd48/S001/trackers/left_stylus_movement_T001.csv
reaching,wick-7f8745df-f772-4451-b0e8-8057348fbd48,1,2,1,2,23.34168,24.08,0,reaching/wick-7f8745df-f772-4451-b0e8-8057348fbd48/S001/trackers/right_stylus_movement_T002.csv,reaching/wick-7f8745df-f772-4451-b0e8-8057348fbd48/S001/trackers/left_stylus_movement_T002.csv
reaching,wick-7f8745df-f772-4451-b0e8-8057348fbd48,1,3,1,3,25.42413,26.1,0,reaching/wick-7f8745df-f772-4451-b0e8-8057348fbd48/S001/trackers/right_stylus_movement_T003.csv,reaching/wick-7f8745df-f772-4451-b0e8-8057348fbd48/S001/trackers/left_stylus_movement_T003.csv
reaching,wick-7f8745df-f772-4451-b0e8-8057348fbd48,1,4,1,4,27.29324,27.98,0,reaching/wick-7f8745df-f772-4451-b0e8-8057348fbd48/S001/trackers/right_stylus_movement_T004.csv,reaching/wick-7f8745df-f772-4451-b0e8-8057348fbd48/S001/trackers/left_stylus_movement_T004.csv
reaching,wick-7f8745df-f772-4451-b0e8-8057348fbd48,1,5,1,5,29.24448,29.92,0,reaching/wick-7f8745df-f772-4451-b0e8-8057348fbd48/S001/trackers/right_stylus_movement_T005.csv,reaching/wick-7f8745df-f772-4451-b0e8-8057348fbd48/S001/trackers/left_stylus_movement_T005.csv
reaching,wick-7f8745df-f772-4451-b0e8-8057348fbd48,1,6,2,1,31.52358,32.28,60,reaching/wick-7f8745df-f772-4451-b0e8-8057348fbd48/S001/trackers/right_stylus_movement_T006.csv,reaching/wick-7f8745df-f772-4451-b0e8-8057348fbd48/S001/trackers/left_stylus_movement_T006.csv
