experiment,ppid,session_num,trial_num,block_num,trial_num_in_block,start_time,end_time,vmr_angle,trainee_right_stylus_movement_location_0,mentor_left_stylus_movement_location_0
reaching,mash-0374b7f1-5fb6-45b3-b929-8ac894971892,1,1,1,1,6.424219,7.96,0,reaching/mash-0374b7f1-5fb6-45b3-b929-8ac894971892/S001/trackers/trainee_right_stylus_movement_T001.csv,reaching/mash-0374b7f1-5fb6-45b3-b929-8ac894971892/S001/trackers/mentor_left_stylus_movement_T001.csv
reaching,mash-0374b7f1-5fb6-45b3-b929-8ac894971892,1,2,1,2,14.50189,18.42681,0,reaching/mash-0374b7f1-5fb6-45b3-b929-8ac894971892/S001/trackers/trainee_right_stylus_movement_T002.csv,reaching/mash-0374b7f1-5fb6-45b3-b929-8ac894971892/S001/trackers/mentor_left_stylus_movement_T002.csv
